operator,scale,world_size,message_bytes,shape,dtype,avg_ms,min_ms,max_ms,std_ms,inner_loops,warmup,repeats
slice_copy,single_node_dual_card,2,4194304,1x512x4096,fp16,0.014572,0.014572,0.017860,0.000884,16,2,15
slice_copy,single_card,1,6291456,1x768x4096,fp16,0.016220,0.016220,0.024386,0.002269,10,2,15
slice_copy,single_node_dual_card,2,6291456,1x768x4096,fp16,0.015640,0.015640,0.016544,0.000253,10,2,15
slice_copy,single_card,1,8388608,1x1024x4096,fp16,0.017077,0.017077,0.035578,0.007112,8,2,15
slice_copy,single_node_dual_card,2,8388608,1x1024x4096,fp16,0.017358,0.017358,0.018525,0.000371,8,2,15
slice_copy,single_card,1,12582912,1x1536x4096,fp16,0.024761,0.024761,0.047349,0.009880,5,2,15
slice_copy,single_node_dual_card,2,12582912,1x1536x4096,fp16,0.024327,0.024327,0.025288,0.000253,5,2,15
slice_copy,single_card,1,16777216,1x2048x4096,fp16,0.029511,0.029511,0.056490,0.010316,4,2,15
slice_copy,single_node_dual_card,2,16777216,1x2048x4096,fp16,0.030224,0.030224,0.043029,0.003013,4,2,15
slice_copy,single_card,1,33554432,1x4096x4096,fp16,0.053588,0.053588,0.080716,0.010059,2,2,15
slice_copy,single_node_dual_card,2,33554432,1x4096x4096,fp16,0.053219,0.053219,0.057215,0.001535,2,2,15
concat,single_card,1,262144,1x32x4096,fp16,0.007001,0.007001,0.007406,0.000103,256,2,15
concat,single_node_dual_card,2,262144,1x32x4096,fp16,0.007300,0.007300,0.007432,0.000074,256,2,15
concat,single_card,1,524288,1x64x4096,fp16,0.007019,0.007019,0.007407,0.000086,128,2,15
concat,single_node_dual_card,2,524288,1x64x4096,fp16,0.007111,0.007111,0.007241,0.000039,128,2,15
concat,single_card,1,1048576,1x128x4096,fp16,0.007101,0.007101,0.007263,0.000039,64,2,15
concat,single_node_dual_card,2,1048576,1x128x4096,fp16,0.007519,0.007519,0.007689,0.000073,64,2,15
concat,single_card,1,2097152,1x256x4096,fp16,0.007323,0.007323,0.010757,0.000817,32,2,15
concat,single_node_dual_card,2,2097152,1x256x4096,fp16,0.007918,0.007918,0.008268,0.000086,32,2,15
concat,single_card,1,4194304,1x512x4096,fp16,0.010347,0.010347,0.015768,0.002313,16,2,15
concat,single_node_dual_card,2,4194304,1x512x4096,fp16,0.010059,0.010059,0.011148,0.000267,16,2,15
concat,single_card,1,6291456,1x768x4096,fp16,0.013249,0.013249,0.027842,0.004416,10,2,15
concat,single_node_dual_card,2,6291456,1x768x4096,fp16,0.013260,0.013260,0.013922,0.000263,10,2,15
concat,single_card,1,8388608,1x1024x4096,fp16,0.015944,0.015944,0.028390,0.004544,8,2,15
concat,single_node_dual_card,2,8388608,1x1024x4096,fp16,0.015941,0.015941,0.016864,0.000332,8,2,15
concat,single_card,1,12582912,1x1536x4096,fp16,0.022558,0.022558,0.030550,0.003173,5,2,15
concat,single_node_dual_card,2,12582912,1x1536x4096,fp16,0.022546,0.022546,0.030006,0.001813,5,2,15
concat,single_card,1,16777216,1x2048x4096,fp16,0.028118,0.028118,0.036873,0.002422,4,2,15
concat,single_node_dual_card,2,16777216,1x2048x4096,fp16,0.027947,0.027947,0.028957,0.000308,4,2,15
concat,single_card,1,33554432,1x4096x4096,fp16,0.053381,0.053381,0.064489,0.003036,2,2,15
concat,single_node_dual_card,2,33554432,1x4096x4096,fp16,0.049972,0.049972,0.054220,0.001676,2,2,15
