operator,message_bytes,avg_ms,min_ms,max_ms,std_ms,world_size,device_type
all_reduce,1024,0.023749,0.023749,0.023749,0.0,2,MLU580
all_reduce,4096,0.021838,0.021838,0.021838,0.0,2,MLU580
all_reduce,16384,0.021884,0.021884,0.021884,0.0,2,MLU580
all_reduce,65536,0.029563,0.029563,0.029563,0.0,2,MLU580
all_reduce,262144,0.033732,0.033732,0.033732,0.0,2,MLU580
all_reduce,1048576,0.05284899999999999,0.05284899999999999,0.05284899999999999,0.0,2,MLU580
all_reduce,4194304,0.13364099999999998,0.13364099999999998,0.13364099999999998,0.0,2,MLU580
all_reduce,8388608,0.190236,0.190236,0.190236,0.0,2,MLU580
all_reduce,12582912,0.259743,0.259743,0.259743,0.0,2,MLU580
all_reduce,16777216,0.34393,0.34393,0.34393,0.0,2,MLU580
all_reduce,20971520,0.414587,0.414587,0.414587,0.0,2,MLU580
all_reduce,25165824,0.49728300000000003,0.49728300000000003,0.49728300000000003,0.0,2,MLU580
all_reduce,29360128,0.568923,0.568923,0.568923,0.0,2,MLU580
all_reduce,33554432,0.648334,0.648334,0.648334,0.0,2,MLU580
all_reduce,37748736,0.7228490000000001,0.7228490000000001,0.7228490000000001,0.0,2,MLU580
all_reduce,41943040,0.802221,0.802221,0.802221,0.0,2,MLU580
all_reduce,46137344,0.877054,0.877054,0.877054,0.0,2,MLU580
all_reduce,50331648,0.9550109999999999,0.9550109999999999,0.9550109999999999,0.0,2,MLU580
all_reduce,54525952,1.030201,1.030201,1.030201,0.0,2,MLU580
all_reduce,58720256,1.108633,1.108633,1.108633,0.0,2,MLU580
all_reduce,62914560,1.183655,1.183655,1.183655,0.0,2,MLU580
all_reduce,67108864,1.2642909999999998,1.2642909999999998,1.2642909999999998,0.0,2,MLU580
all_reduce,71303168,1.337487,1.337487,1.337487,0.0,2,MLU580
all_reduce,75497472,1.4171610000000001,1.4171610000000001,1.4171610000000001,0.0,2,MLU580
all_reduce,79691776,1.4906579999999998,1.4906579999999998,1.4906579999999998,0.0,2,MLU580
all_reduce,83886080,1.5717670000000001,1.5717670000000001,1.5717670000000001,0.0,2,MLU580
all_reduce,88080384,1.645551,1.645551,1.645551,0.0,2,MLU580
all_reduce,92274688,1.729845,1.729845,1.729845,0.0,2,MLU580
all_reduce,96468992,1.8116189999999999,1.8116189999999999,1.8116189999999999,0.0,2,MLU580
all_reduce,100663296,1.887278,1.887278,1.887278,0.0,2,MLU580
all_reduce,104857600,1.9706199999999998,1.9706199999999998,1.9706199999999998,0.0,2,MLU580
all_reduce,109051904,2.046133,2.046133,2.046133,0.0,2,MLU580
all_reduce,113246208,2.128829,2.128829,2.128829,0.0,2,MLU580
all_reduce,117440512,2.2074290000000003,2.2074290000000003,2.2074290000000003,0.0,2,MLU580
all_reduce,121634816,2.283967,2.283967,2.283967,0.0,2,MLU580
all_reduce,125829120,2.3577130000000004,2.3577130000000004,2.3577130000000004,0.0,2,MLU580
all_reduce,130023424,2.4404760000000003,2.4404760000000003,2.4404760000000003,0.0,2,MLU580
all_reduce,134217728,2.513021,2.513021,2.513021,0.0,2,MLU580
send_recv,1024,0.051119,0.051119,0.051119,0.0,2,MLU580
send_recv,4096,0.051177999999999994,0.051177999999999994,0.051177999999999994,0.0,2,MLU580
send_recv,16384,0.050470999999999995,0.050470999999999995,0.050470999999999995,0.0,2,MLU580
send_recv,65536,0.050381999999999996,0.050381999999999996,0.050381999999999996,0.0,2,MLU580
send_recv,262144,0.055137,0.055137,0.055137,0.0,2,MLU580
send_recv,1048576,0.069728,0.069728,0.069728,0.0,2,MLU580
send_recv,4194304,0.121639,0.121639,0.121639,0.0,2,MLU580
send_recv,8388608,0.202107,0.202107,0.202107,0.0,2,MLU580
send_recv,12582912,0.277051,0.277051,0.277051,0.0,2,MLU580
send_recv,16777216,0.358968,0.358968,0.358968,0.0,2,MLU580
send_recv,20971520,0.43135,0.43135,0.43135,0.0,2,MLU580
send_recv,25165824,0.513499,0.513499,0.513499,0.0,2,MLU580
send_recv,29360128,0.588877,0.588877,0.588877,0.0,2,MLU580
send_recv,33554432,0.669685,0.669685,0.669685,0.0,2,MLU580
send_recv,37748736,0.74146,0.74146,0.74146,0.0,2,MLU580
send_recv,41943040,0.8237559999999999,0.8237559999999999,0.8237559999999999,0.0,2,MLU580
send_recv,46137344,0.897018,0.897018,0.897018,0.0,2,MLU580
send_recv,50331648,0.9784400000000001,0.9784400000000001,0.9784400000000001,0.0,2,MLU580
send_recv,54525952,1.052225,1.052225,1.052225,0.0,2,MLU580
send_recv,58720256,1.131186,1.131186,1.131186,0.0,2,MLU580
send_recv,62914560,1.2069239999999999,1.2069239999999999,1.2069239999999999,0.0,2,MLU580
send_recv,67108864,1.286305,1.286305,1.286305,0.0,2,MLU580
send_recv,71303168,1.3610239999999998,1.3610239999999998,1.3610239999999998,0.0,2,MLU580
send_recv,75497472,1.4375719999999998,1.4375719999999998,1.4375719999999998,0.0,2,MLU580
send_recv,79691776,1.516515,1.516515,1.516515,0.0,2,MLU580
send_recv,83886080,1.593769,1.593769,1.593769,0.0,2,MLU580
send_recv,88080384,1.673246,1.673246,1.673246,0.0,2,MLU580
send_recv,92274688,1.764777,1.764777,1.764777,0.0,2,MLU580
send_recv,96468992,1.831098,1.831098,1.831098,0.0,2,MLU580
send_recv,100663296,1.904442,1.904442,1.904442,0.0,2,MLU580
send_recv,104857600,1.987577,1.987577,1.987577,0.0,2,MLU580
send_recv,109051904,2.0702420000000004,2.0702420000000004,2.0702420000000004,0.0,2,MLU580
send_recv,113246208,2.147461,2.147461,2.147461,0.0,2,MLU580
send_recv,117440512,2.222713,2.222713,2.222713,0.0,2,MLU580
send_recv,121634816,2.312823,2.312823,2.312823,0.0,2,MLU580
send_recv,125829120,2.379269,2.379269,2.379269,0.0,2,MLU580
send_recv,130023424,2.45971,2.45971,2.45971,0.0,2,MLU580
send_recv,134217728,2.5343470000000003,2.5343470000000003,2.5343470000000003,0.0,2,MLU580
all_gather,1024,0.025465,0.025465,0.025465,0.0,2,MLU580
all_gather,4096,0.025311,0.025311,0.025311,0.0,2,MLU580
all_gather,16384,0.023138000000000002,0.023138000000000002,0.023138000000000002,0.0,2,MLU580
all_gather,65536,0.02173,0.02173,0.02173,0.0,2,MLU580
all_gather,262144,0.029059,0.029059,0.029059,0.0,2,MLU580
all_gather,1048576,0.039084,0.039084,0.039084,0.0,2,MLU580
all_gather,4194304,0.06945,0.06945,0.06945,0.0,2,MLU580
all_gather,8388608,0.10895999999999999,0.10895999999999999,0.10895999999999999,0.0,2,MLU580
all_gather,12582912,0.14868199999999998,0.14868199999999998,0.14868199999999998,0.0,2,MLU580
all_gather,16777216,0.188351,0.188351,0.188351,0.0,2,MLU580
all_gather,20971520,0.22727,0.22727,0.22727,0.0,2,MLU580
all_gather,25165824,0.267582,0.267582,0.267582,0.0,2,MLU580
all_gather,29360128,0.30876299999999995,0.30876299999999995,0.30876299999999995,0.0,2,MLU580
all_gather,33554432,0.346874,0.346874,0.346874,0.0,2,MLU580
all_gather,37748736,0.386297,0.386297,0.386297,0.0,2,MLU580
all_gather,41943040,0.426931,0.426931,0.426931,0.0,2,MLU580
all_gather,46137344,0.465469,0.465469,0.465469,0.0,2,MLU580
all_gather,50331648,0.50578,0.50578,0.50578,0.0,2,MLU580
all_gather,54525952,0.543571,0.543571,0.543571,0.0,2,MLU580
all_gather,58720256,0.585484,0.585484,0.585484,0.0,2,MLU580
all_gather,62914560,0.623797,0.623797,0.623797,0.0,2,MLU580
