operator,message_bytes,avg_ms,min_ms,max_ms,std_ms,world_size,device_type
send_recv,1024,0.062583,0.062583,0.062583,0.0,2,MLU580
send_recv,4096,0.05246,0.05246,0.05246,0.0,2,MLU580
send_recv,16384,0.051463,0.051463,0.051463,0.0,2,MLU580
send_recv,65536,0.050194,0.050194,0.050194,0.0,2,MLU580
send_recv,262144,0.057238,0.057238,0.057238,0.0,2,MLU580
send_recv,1048576,0.07001099999999999,0.07001099999999999,0.07001099999999999,0.0,2,MLU580
send_recv,4194304,0.12282599999999999,0.12282599999999999,0.12282599999999999,0.0,2,MLU580
send_recv,8388608,0.202702,0.202702,0.202702,0.0,2,MLU580
send_recv,12582912,0.27736500000000003,0.27736500000000003,0.27736500000000003,0.0,2,MLU580
send_recv,16777216,0.356983,0.356983,0.356983,0.0,2,MLU580
send_recv,20971520,0.434813,0.434813,0.434813,0.0,2,MLU580
send_recv,25165824,0.517695,0.517695,0.517695,0.0,2,MLU580
send_recv,29360128,0.591457,0.591457,0.591457,0.0,2,MLU580
send_recv,33554432,0.670396,0.670396,0.670396,0.0,2,MLU580
send_recv,37748736,0.74471,0.74471,0.74471,0.0,2,MLU580
send_recv,41943040,0.827082,0.827082,0.827082,0.0,2,MLU580
send_recv,46137344,0.899934,0.899934,0.899934,0.0,2,MLU580
send_recv,50331648,0.978201,0.978201,0.978201,0.0,2,MLU580
send_recv,54525952,1.052667,1.052667,1.052667,0.0,2,MLU580
send_recv,58720256,1.13059,1.13059,1.13059,0.0,2,MLU580
send_recv,62914560,1.206021,1.206021,1.206021,0.0,2,MLU580
send_recv,67108864,1.286551,1.286551,1.286551,0.0,2,MLU580
send_recv,71303168,1.374573,1.374573,1.374573,0.0,2,MLU580
send_recv,75497472,1.4412129999999999,1.4412129999999999,1.4412129999999999,0.0,2,MLU580
send_recv,79691776,1.519078,1.519078,1.519078,0.0,2,MLU580
send_recv,83886080,1.5957739999999998,1.5957739999999998,1.5957739999999998,0.0,2,MLU580
send_recv,88080384,1.671391,1.671391,1.671391,0.0,2,MLU580
send_recv,92274688,1.749632,1.749632,1.749632,0.0,2,MLU580
send_recv,96468992,1.831693,1.831693,1.831693,0.0,2,MLU580
send_recv,100663296,1.905006,1.905006,1.905006,0.0,2,MLU580
send_recv,104857600,1.987668,1.987668,1.987668,0.0,2,MLU580
send_recv,109051904,2.063803,2.063803,2.063803,0.0,2,MLU580
send_recv,113246208,2.1464600000000003,2.1464600000000003,2.1464600000000003,0.0,2,MLU580
send_recv,117440512,2.223177,2.223177,2.223177,0.0,2,MLU580
send_recv,121634816,2.3038290000000003,2.3038290000000003,2.3038290000000003,0.0,2,MLU580
send_recv,125829120,2.377428,2.377428,2.377428,0.0,2,MLU580
send_recv,130023424,2.463534,2.463534,2.463534,0.0,2,MLU580
send_recv,134217728,2.559848,2.559848,2.559848,0.0,2,MLU580
